h,coef,se,spec,ci_lo,ci_hi
-10,3.2136874,4.8092785,1,-6.2124982,12.639874
-9,4.1640563,3.9837511,1,-3.6440957,11.972208
-8,2.947593,3.4130392,1,-3.7419639,9.6371498
-7,-.081874043,2.5856788,1,-5.1498046,4.9860563
-6,-2.9597473,2.138653,1,-7.1515074,1.2320126
-5,-2.0884826,1.2828991,1,-4.6029649,.4259997
-4,2.7871130e-14,3.1318877e-14,1,-3.3513868e-14,8.9256131e-14
-3,-1.5517363e-15,3.2512206e-15,1,-7.9241287e-15,4.8206559e-15
-2,9.3294326e-15,4.6099713e-15,1,2.9388888e-16,1.8364977e-14
-1,7.0111136e-15,4.7449960e-15,1,-2.2890786e-15,1.6311305e-14
0,6.7031341,2.1646442,1,2.4604313,10.945837
1,13.288764,3.2815094,1,6.8570056,19.720522
2,18.589331,3.8550904,1,11.033354,26.145308
3,20.949751,4.328423,1,12.466042,29.43346
4,19.482038,4.6650367,1,10.338567,28.625511
5,20.185846,4.370779,1,11.61912,28.752573
6,20.483942,4.4060764,1,11.848032,29.119852
7,21.159508,4.605916,1,12.131912,30.187103
8,21.115524,4.9140739,1,11.483939,30.747108
9,17.408495,5.0283828,1,7.5528646,27.264126
10,16.760624,5.0211544,1,6.9191613,26.602087
11,19.253851,5.3185568,1,8.8294792,29.678223
12,17.685436,4.8577838,1,8.1641798,27.206692
13,15.285913,4.7978406,1,5.8821459,24.68968
14,14.147321,4.9977169,1,4.3517957,23.942846
15,13.268604,5.2946682,1,2.8910546,23.646154
16,9.921566,5.5220933,1,-.90173686,20.744869
17,9.3126774,5.6732616,1,-1.8069154,20.43227
18,7.6221719,5.8922462,1,-3.9266307,19.170975
19,5.1150966,5.374948,1,-5.4198017,15.649995
20,4.3692765,5.5749393,1,-6.5576043,15.296158
21,3.8034987,5.5816655,1,-7.1365657,14.743563
22,3.7757223,5.7444363,1,-7.4833727,15.034818
23,2.8830473,5.8339319,1,-8.5514593,14.317554
24,1.8528082,5.8791018,1,-9.6702309,13.375848
25,.35107264,6.1562128,1,-11.715104,12.41725
-10,2.7319767,5.0711203,2,-7.2074189,12.671372
-9,4.1918464,4.3083725,2,-4.252564,12.636256
-8,2.5963991,3.6887915,2,-4.6336322,9.8264303
-7,.0064482265,2.8394122,2,-5.5587997,5.5716963
-6,-3.0911386,2.2285032,2,-7.4590049,1.2767277
-5,-2.4384987,1.3032492,2,-4.9928675,.11586978
-4,1.4495690e-14,1.9654149e-14,2,-2.4026444e-14,5.3017822e-14
-3,0,1.5386253e-15,2,-3.0157056e-15,3.0157056e-15
-2,1.6167769e-15,1.0578221e-15,2,-4.5655436e-16,3.6901084e-15
-1,-1.2956474e-14,7.2695485e-15,2,-2.7204789e-14,1.2918407e-15
0,6.622705,2.3437293,2,2.0289958,11.216414
1,13.597831,3.464349,2,6.8077068,20.387955
2,19.236017,4.140955,2,11.119745,27.352289
3,22.041887,4.685955,2,12.857415,31.226358
4,21.901344,5.2587409,2,11.594213,32.208477
5,22.256672,5.1118231,2,12.237498,32.275845
6,22.834839,5.193459,2,12.655659,33.014019
7,23.28191,5.4597068,2,12.580885,33.982937
8,23.646496,5.7906094,2,12.296902,34.99609
9,18.963379,5.8542333,2,7.4890819,30.437675
10,18.346889,5.6826425,2,7.2089105,29.484869
11,19.705215,5.9095254,2,8.1225452,31.287886
12,18.149944,5.2457199,2,7.8683333,28.431555
13,14.804321,5.0836372,2,4.8403921,24.76825
14,13.557947,5.2484093,2,3.271065,23.84483
15,12.864787,5.3373694,2,2.403543,23.326031
16,9.4631948,5.5858893,2,-1.4851483,20.411537
17,9.0367289,5.944447,2,-2.6143873,20.687845
18,7.7978024,6.2614989,2,-4.4747353,20.070341
19,4.9499941,5.8617234,2,-6.5389838,16.438972
20,4.8437204,5.9975514,2,-6.9114804,16.598921
21,4.7310104,6.0911322,2,-7.2076087,16.66963
22,4.0404291,6.2211289,2,-8.1529837,16.233841
23,3.8527753,6.1226134,2,-8.1475468,15.853098
24,3.3309145,6.0095377,2,-8.4477797,15.109609
25,2.386909,6.445107,2,-10.245501,15.019319
-10,-.10004935,4.3271689,3,-8.5813007,8.3812017
-9,2.1002908,3.6733248,3,-5.0994258,9.3000078
-8,1.0593998,3.1166449,3,-5.0492239,7.1680236
-7,-.78059578,2.5407097,3,-5.7603869,4.1991954
-6,-2.9668176,2.1790473,3,-7.2377505,1.3041152
-5,-1.3537469,1.2671541,3,-3.837369,1.1298752
-4,-5.0061714e-15,2.0264335e-14,3,-4.4724268e-14,3.4711925e-14
-3,0,7.0152767e-16,3,-1.3749942e-15,1.3749942e-15
-2,-7.5375810e-15,3.9462626e-15,3,-1.5272256e-14,1.9709357e-16
-1,-4.6141828e-15,4.6138067e-15,3,-1.3657244e-14,4.4288782e-15
0,6.5925832,2.3946998,3,1.8989716,11.286195
1,13.867498,3.3260837,3,7.3483744,20.386621
2,19.897327,4.0389438,3,11.980998,27.813658
3,23.453543,4.6915274,3,14.258149,32.648937
4,23.119837,5.2834864,3,12.764203,33.475471
5,23.581314,5.2139964,3,13.361881,33.800747
6,24.639297,5.341671,3,14.169622,35.108974
7,23.812975,5.5550814,3,12.925015,34.700935
8,25.598785,5.7590818,3,14.310985,36.886585
9,21.28594,5.6506152,3,10.210734,32.361145
10,20.614428,5.2677855,3,10.289568,30.939287
11,21.895653,5.5210204,3,11.074452,32.716854
12,20.963818,4.8789024,3,11.401169,30.526466
13,17.775352,4.712419,3,8.539011,27.011694
14,16.627527,4.6755986,3,7.4633541,25.7917
15,15.902202,4.6978698,3,6.6943769,25.110027
16,12.105616,5.1095853,3,2.0908284,22.120403
17,11.310167,5.8153033,3,-.087827206,22.708162
18,10.044539,6.3118072,3,-2.3266025,22.415682
19,7.6877913,5.4327617,3,-2.9604216,18.336004
20,7.7267146,5.5031605,3,-3.05948,18.512909
21,7.9011297,5.5136237,3,-2.9055727,18.707832
22,7.0046554,5.7957287,3,-4.3549728,18.364285
23,7.470449,5.9716945,3,-4.2340722,19.174971
24,7.2412472,6.1162767,3,-4.7466555,19.229149
25,6.2698407,6.2994223,3,-6.0770268,18.616709
-10,.24561855,4.371603,4,-8.3227234,8.8139601
-9,2.6125534,3.6903429,4,-4.6205187,9.8456259
-8,1.6079718,3.0706518,4,-4.4105058,7.6264491
-7,-.27446693,2.5092473,4,-5.1925917,4.6436577
-6,-2.600158,2.1950188,4,-6.9023948,1.7020788
-5,-1.0928115,1.3086796,4,-3.6578236,1.4722005
-4,3.1884458e-14,2.3710178e-14,4,-1.4587491e-14,7.8356409e-14
-3,4.5395985e-14,1.2139041e-14,4,2.1603465e-14,6.9188504e-14
-2,4.2111476e-14,3.8089649e-14,4,-3.2544236e-14,1.1676719e-13
-1,-2.1091773e-15,1.4022178e-14,4,-2.9592648e-14,2.5374292e-14
0,6.3807206,2.3872156,4,1.7017781,11.059663
1,13.461867,3.214503,4,7.1614413,19.762293
2,19.430861,3.9397554,4,11.70894,27.152781
3,22.940552,4.6079044,4,13.90906,31.972044
4,22.54357,5.2214894,4,12.30945,32.777687
5,22.670303,5.1043696,4,12.665739,32.67487
6,23.384722,5.3143859,4,12.968525,33.800919
7,22.134466,5.5257173,4,11.30406,32.96487
8,23.880247,5.7463603,4,12.617381,35.143112
9,19.611656,5.6475172,4,8.5425224,30.68079
10,19.20051,5.2437115,4,8.9228354,29.478184
11,20.327242,5.3203554,4,9.8993454,30.755138
12,20.328249,5.0873847,4,10.356975,30.299522
13,17.279659,4.9210939,4,7.634315,26.925003
14,16.213118,4.8471608,4,6.7126822,25.713552
15,15.521456,4.7838111,4,6.1451859,24.897726
16,11.867443,5.2102356,4,1.6553813,22.079504
17,11.051785,6.0188646,4,-.74519014,22.848759
18,10.01029,6.5461626,4,-2.8201885,22.840769
19,8.0206671,5.6336355,4,-3.0212586,19.062593
20,8.1619368,5.6471763,4,-2.9065287,19.230402
21,8.2963009,5.680851,4,-2.838167,19.430769
22,7.3845506,5.9470654,4,-4.2716975,19.040798
23,7.8942876,6.0721917,4,-4.0072083,19.795784
24,7.6276231,6.2001567,4,-4.524684,19.77993
25,6.3570275,6.3517942,4,-6.0924892,18.806543
-10,-1.3271763,4.3378258,5,-9.8293152,7.174962
-9,1.1023457,3.6108832,5,-5.9749856,8.179677
-8,.14545581,2.9771438,5,-5.6897459,5.9806576
-7,-1.5547527,2.430392,5,-6.3183212,3.2088156
-6,-3.5141602,2.1371214,5,-7.7029181,.67459786
-5,-1.532891,1.2778118,5,-4.0374022,.97162002
-4,5.5395599e-14,2.3671417e-14,5,8.9996226e-15,1.0179157e-13
-3,-1.0595478e-13,4.4923338e-14,5,-1.9400452e-13,-1.7905033e-14
-2,-1.0278066e-13,4.7169137e-14,5,-1.9523216e-13,-1.0329150e-14
-1,2.4473045e-14,2.0536959e-14,5,-1.5779395e-14,6.4725487e-14
0,6.5600867,2.3492568,5,1.9555435,11.16463
1,13.983682,3.0790415,5,7.9487605,20.018602
2,20.21837,3.7679005,5,12.833285,27.603455
3,23.975254,4.394268,5,15.362489,32.58802
4,23.498539,5.0196295,5,13.660066,33.337013
5,23.62027,4.98522,5,13.849238,33.3913
6,24.317659,5.280705,5,13.967478,34.667843
7,22.927794,5.2995963,5,12.540585,33.315002
8,24.636543,5.5425067,5,13.773231,35.499855
9,20.525034,5.4473891,5,9.8481512,31.201916
10,20.513653,5.0896759,5,10.537888,30.489418
11,21.655527,5.1574802,5,11.546865,31.764189
12,22.057131,4.8773799,5,12.497466,31.616795
13,19.189125,4.6476054,5,10.079819,28.298431
14,18.65431,4.5853186,5,9.6670856,27.641535
15,17.752413,4.7424192,5,8.4572706,27.047554
16,13.790868,5.2043037,5,3.5904324,23.991302
17,12.800476,5.960041,5,1.1187956,24.482157
18,11.741753,6.4685163,5,-.93653941,24.420044
19,9.3509083,5.3795714,5,-1.1930517,19.894869
20,9.7657671,5.4630051,5,-.94172281,20.473257
21,9.5588388,5.4451675,5,-1.1136895,20.231367
22,8.8797569,5.7665758,5,-2.4227316,20.182245
23,9.2407475,5.8964329,5,-2.3162611,20.797756
24,9.1478796,6.1920643,5,-2.9885664,21.284325
25,7.1879702,6.3602948,5,-5.2782078,19.654148
